k,hfa,regress,gd_mode,logloss,brier,acc
64,60,0.5,wfe,0.9608312225837736,0.5695464046774412,0.546438983756768
64,100,0.5,wfe,0.9608384273352654,0.5695411692974016,0.5468554768846314
64,40,0.5,wfe,0.9608711787697218,0.5695780177105799,0.5485214493960849
24,100,0.2,wfe,0.960883586843483,0.5696387748899284,0.5422740524781341
64,20,0.5,wfe,0.9609380242949673,0.5696271365143412,0.5481049562682215
24,0,0.1,wfe,0.9609424907380232,0.5695890810633847,0.5468554768846314
24,20,0.1,wfe,0.9610091318572563,0.5696377720801898,0.5476884631403582
64,0,0.5,wfe,0.9610291471858409,0.5696917562794326,0.5472719700124948
24,40,0.1,wfe,0.9611605968592237,0.5697472657450638,0.5489379425239483
24,60,0.1,wfe,0.9613960152976567,0.5699171327487249,0.550603915035402
48,0,0.0,wfe,0.9617004610963475,0.5699158773464746,0.5489379425239483
48,20,0.0,wfe,0.9617036010877493,0.569921189697547,0.5497709287796751
24,80,0.1,wfe,0.9617135304605035,0.5701462758935678,0.5497709287796751
48,40,0.0,wfe,0.9617603202155315,0.5699640867032317,0.5497709287796751
56,20,0.0,wfe,0.9618065572795357,0.5699931213618472,0.5514369012911287
56,0,0.0,wfe,0.9618238678813547,0.5700015972496425,0.550603915035402
56,40,0.0,wfe,0.9618330856827124,0.570015174521806,0.5531028738025823
48,60,0.0,wfe,0.9618718807699932,0.5700455033039218,0.550603915035402
56,60,0.0,wfe,0.9619056439349859,0.5700693438829108,0.5522698875468555
80,100,0.1,wfe,0.9619606206292624,0.5702720086053376,0.5547688463140358
80,80,0.1,wfe,0.9619699077783533,0.5702796578824496,0.5535193669304457
80,100,0.2,wfe,0.961977050168283,0.5703501127363524,0.5510204081632653
80,80,0.2,wfe,0.9619980749600311,0.5703665291999119,0.5510204081632653
80,60,0.1,wfe,0.9620007824770624,0.5703018155495597,0.5539358600583091
40,0,0.0,wfe,0.9620169432213534,0.5701490979954256,0.5472719700124948
56,80,0.0,wfe,0.96202562747057,0.570156685338799,0.5518533944189921
48,80,0.0,wfe,0.9620385837514367,0.5701657287291376,0.5501874219075386
80,60,0.2,wfe,0.9620386793110456,0.5703957992742696,0.5489379425239483
40,20,0.0,wfe,0.9620390276273232,0.5701670951206297,0.5468554768846314
80,40,0.1,wfe,0.9620492308666779,0.5703354407509567,0.5543523531861724
80,40,0.2,wfe,0.9620951720706589,0.5704350974361198,0.5497709287796751
24,100,0.1,wfe,0.9621104027265244,0.5704329862607028,0.5481049562682215
