sezon,takim,elo
2015-2016,Gençlik Gücü TSK,1499.8330228364891
2015-2016,Girne Halk Evi SK,1348.433186552948
2015-2016,Gönyeli SK,1262.535843414338
2015-2016,Görneç KSK,1259.2151583763934
2015-2016,Göçmenköy İYSK,1306.5092252631207
2015-2016,Hamitköy ŞHSK,1320.7965151094945
2015-2016,Küçük Kaymaklı TSK,1596.3186677902743
2015-2016,L. Gençler Birliği SK,1598.2742164002398
2015-2016,Lapta Türk Birliği SK,1183.5108101798812
2015-2016,Lefke TSK,1543.2978911191904
2015-2016,M. Karşıyaka ASK,1228.3354189808763
2015-2016,Mağusa Türk Gücü,1622.080095003593
2015-2016,Mormenekşe GBSK,1427.9174927121633
2015-2016,Türk Ocağı Limasol SK,1633.6685977602594
2015-2016,Yalova SK,1517.8810191786295
2015-2016,Yeniboğaziçi DSK,1330.9104737905825
2015-2016,Yenicami AK,1594.2308015954857
2015-2016,Çetinkaya TSK,1663.2837487986912
2016-2017,Akova Vuda TÇBSK,1395.8715081257021
2016-2017,Alsancak Yeşilova SK,1549.404345447305
2016-2017,Baf Ülkü Yurdu,1444.2055064820172
2016-2017,Binatlı YSK,1481.8704215903856
2016-2017,Cihangir GSK,1620.5050771232532
2016-2017,Değirmenlik SK,1311.8902151935365
2016-2017,Dipkarpaz SK,1102.228751055466
2016-2017,Doğan Türk Birliği,1668.72067843787
2016-2017,Dumlupınar TSK,1258.1412853404793
2016-2017,Düzkaya KOSK,1366.9805942448397
2016-2017,Gençlik Gücü TSK,1459.3661437260553
2016-2017,Göçmenköy İYSK,1457.0674680166526
2016-2017,Hamitköy ŞHSK,1405.3642832681828
2016-2017,Küçük Kaymaklı TSK,1626.3553085218796
2016-2017,L. Gençler Birliği SK,1601.1112213806416
2016-2017,Lefke TSK,1484.3865447883345
2016-2017,Maraş GSK,1383.8379330874216
2016-2017,Mağusa Türk Gücü,1446.864597931503
2016-2017,Mehmetçik TÇBSK,1418.8422629202828
2016-2017,Mesarya SK,1373.866079764601
2016-2017,Mormenekşe GBSK,1298.5382094261147
2016-2017,Türk Ocağı Limasol SK,1589.903440662756
2016-2017,Yalova SK,1537.9551887234854
2016-2017,Yeniboğaziçi DSK,1439.2685763329396
2016-2017,Yenicami AK,1751.2233308794418
2016-2017,Çetinkaya TSK,1474.346327406722
2017-2018,Akova Vuda TÇBSK,1359.9297017998938
2017-2018,Alsancak Yeşilova SK,1600.3619863822432
2017-2018,Baf Ülkü Yurdu,1578.3559623783858
2017-2018,Binatlı YSK,1520.7008496581711
2017-2018,Bostancı Bağcıl SK,1304.8684099606103
2017-2018,Cihangir GSK,1575.5529867852663
2017-2018,Değirmenlik SK,1317.4976683551236
2017-2018,Doğan Türk Birliği,1615.9094689095484
2017-2018,Doğancı SK,1391.953891902597
2017-2018,Dumlupınar TSK,1421.0090212029318
2017-2018,Esentepe KSKK,1363.5045049033804
2017-2018,Gençlik Gücü TSK,1398.8593676144003
2017-2018,Girne Halk Evi SK,1475.3120920609124
2017-2018,Gönyeli SK,1492.8862985361484
2017-2018,Görneç KSK,1158.6604125653448
2017-2018,Göçmenköy İYSK,1315.969827458327
2017-2018,Hamitköy ŞHSK,1412.530091795669
2017-2018,Küçük Kaymaklı TSK,1463.281296249223
2017-2018,L. Gençler Birliği SK,1446.6210882230787
2017-2018,Lapta Türk Birliği SK,1281.9444832061386
2017-2018,Lefke TSK,1584.1780289816115
2017-2018,Maraş GSK,1396.7370452745563
2017-2018,Mağusa Türk Gücü,1526.551300680644
2017-2018,Mehmetçik TÇBSK,1272.5643062843835
2017-2018,Mormenekşe GBSK,1393.1785281871987
2017-2018,Ozanköy SK,1270.1372302233667
2017-2018,Türk Ocağı Limasol SK,1542.7085802166719
2017-2018,Yalova SK,1346.8493481824546
2017-2018,Yeniboğaziçi DSK,1292.6251364870225
2017-2018,Yenicami AK,1650.6597056888334
2017-2018,Çanakkale TSK,1343.3865284676717
2017-2018,Çetinkaya TSK,1602.6805716968602
2018-2019,Akova Vuda TÇBSK,1500.5136213634635
2018-2019,Alsancak Yeşilova SK,1618.1953327919198
2018-2019,Baf Ülkü Yurdu,1414.7743044002546
2018-2019,Binatlı YSK,1366.247284491127
2018-2019,Bostancı Bağcıl SK,1335.3011939132587
2018-2019,Cihangir GSK,1407.0170795580523
2018-2019,Değirmenlik SK,1225.8334392115844
2018-2019,Doğan Türk Birliği,1619.3301982260416
2018-2019,Doğancı SK,1222.5098480472845
2018-2019,Dumlupınar TSK,1379.8764788704123
2018-2019,Düzkaya KOSK,1541.898149251947
2018-2019,Esentepe KSKK,1400.970361853297
2018-2019,Gençlik Gücü TSK,1469.2555365600476
2018-2019,Girne Halk Evi SK,1268.166613556367
2018-2019,Gönyeli SK,1487.3239166498586
2018-2019,Göçmenköy İYSK,1450.4561976936498
2018-2019,Hamitköy ŞHSK,1469.4158079960232
2018-2019,Küçük Kaymaklı TSK,1446.8971143632584
2018-2019,L. Gençler Birliği SK,1274.3862624983428
2018-2019,Lefke TSK,1519.0541723865529
2018-2019,M. Karşıyaka ASK,1290.209601652736
2018-2019,Maraş GSK,1383.0597801967485
2018-2019,Mağusa Türk Gücü,1796.0423374564327
2018-2019,Mesarya SK,1390.5331408970346
2018-2019,Mormenekşe GBSK,1349.7405531552606
2018-2019,Ozanköy SK,1544.2257370194684
2018-2019,Türk Ocağı Limasol SK,1527.723243776988
2018-2019,Yalova SK,1340.816067664175
2018-2019,Yeniboğaziçi DSK,1162.1006962439426
2018-2019,Yenicami AK,1804.5586646892043
2018-2019,Çanakkale TSK,1254.846251536275
2018-2019,Çetinkaya TSK,1527.8681244347151
2019-2020,Alsancak Yeşilova SK,1707.559386802138
2019-2020,Baf Ülkü Yurdu,1526.8277956033205
2019-2020,Binatlı YSK,1454.0300686879318
2019-2020,Bostancı Bağcıl SK,1299.933108146156
2019-2020,Cihangir GSK,1377.8324304001926
2019-2020,Doğan Türk Birliği,1604.9770862907874
2019-2020,Doğancı SK,1235.9710718320612
2019-2020,Dumlupınar TSK,1568.3090098427754
2019-2020,Dörtyol SK,1359.171168126282
2019-2020,Düzkaya KOSK,1395.6161501894157
2019-2020,Esentepe KSKK,1475.8678766164492
2019-2020,Gençlik Gücü TSK,1264.6730711247246
2019-2020,Girne Halk Evi SK,1543.667315893972
2019-2020,Gönyeli SK,1502.237386976888
2019-2020,Görneç KSK,1313.8763100888725
2019-2020,Göçmenköy İYSK,1484.9452335538988
2019-2020,Hamitköy ŞHSK,1420.912739832214
2019-2020,Küçük Kaymaklı TSK,1395.4503937788886
2019-2020,L. Gençler Birliği SK,1336.9750469363432
2019-2020,Lapta Türk Birliği SK,1295.1635248497255
2019-2020,Lefke TSK,1462.44378198337
2019-2020,M. Karşıyaka ASK,1312.2124340805776
2019-2020,Maraş GSK,1345.6988204500565
2019-2020,Mağusa Türk Gücü,1851.1534421713443
