date,sezon,lig,home,away,hg,ag,sonuc,hukmen,supheli_tekrar,match_id,url
2011-10-15,2011-2012,Süper Lig,Lefke TSK,Düzkaya KOSK,3,1,H,0,0,1025,https://ktff.org/maclar/1025
2011-10-15,2011-2012,Süper Lig,Yenicami AK,Mağusa Türk Gücü,3,1,H,0,0,1028,https://ktff.org/maclar/1028
2011-10-15,2011-2012,1. Lig,Görneç KSK,Ozanköy SK,6,1,H,0,0,1080,https://ktff.org/maclar/1080
2011-10-15,2011-2012,1. Lig,Çanakkale TSK,Baf Ülkü Yurdu,0,4,A,0,0,1081,https://ktff.org/maclar/1081
2011-10-15,2011-2012,1. Lig,Alsancak Yeşilova SK,Yeniboğaziçi DSK,4,1,H,0,0,1082,https://ktff.org/maclar/1082
2011-10-16,2011-2012,Süper Lig,Doğan Türk Birliği,Göçmenköy İYSK,6,1,H,0,0,1024,https://ktff.org/maclar/1024
2011-10-16,2011-2012,Süper Lig,Cihangir GSK,Lapta Türk Birliği SK,0,1,A,0,0,1026,https://ktff.org/maclar/1026
2011-10-16,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Bostancı Bağcıl SK,3,0,H,0,0,1027,https://ktff.org/maclar/1027
2011-10-16,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Gönyeli SK,0,0,D,0,0,1029,https://ktff.org/maclar/1029
2011-10-16,2011-2012,1. Lig,Binatlı YSK,Dumlupınar TSK,0,0,D,0,0,1083,https://ktff.org/maclar/1083
2011-10-16,2011-2012,1. Lig,Esentepe KSKK,Serdarlı GB,2,0,H,0,0,1084,https://ktff.org/maclar/1084
2011-10-16,2011-2012,1. Lig,Hamitköy ŞHSK,Türkmenköy ASK,1,2,A,0,0,1085,https://ktff.org/maclar/1085
2011-10-16,2011-2012,1. Lig,Mormenekşe GBSK,Gençlik Gücü TSK,3,1,H,0,0,1086,https://ktff.org/maclar/1086
2011-10-22,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Lapta Türk Birliği SK,1,1,D,0,0,1195,https://ktff.org/maclar/1195
2011-10-22,2011-2012,Süper Lig,Göçmenköy İYSK,Lefke TSK,1,1,D,0,0,1196,https://ktff.org/maclar/1196
2011-10-22,2011-2012,Süper Lig,Yenicami AK,Cihangir GSK,4,0,H,0,0,1197,https://ktff.org/maclar/1197
2011-10-22,2011-2012,1. Lig,Ozanköy SK,Gençlik Gücü TSK,1,5,A,0,0,1252,https://ktff.org/maclar/1252
2011-10-22,2011-2012,1. Lig,Dumlupınar TSK,Görneç KSK,1,1,D,0,0,1254,https://ktff.org/maclar/1254
2011-10-22,2011-2012,1. Lig,Baf Ülkü Yurdu,Alsancak Yeşilova SK,0,1,A,0,0,1255,https://ktff.org/maclar/1255
2011-10-22,2011-2012,1. Lig,Serdarlı GB,Hamitköy ŞHSK,2,2,D,0,0,1256,https://ktff.org/maclar/1256
2011-10-23,2011-2012,Süper Lig,Bostancı Bağcıl SK,Çetinkaya TSK,0,1,A,0,0,1198,https://ktff.org/maclar/1198
2011-10-23,2011-2012,Süper Lig,Gönyeli SK,Küçük Kaymaklı TSK,1,3,A,0,0,1199,https://ktff.org/maclar/1199
2011-10-23,2011-2012,Süper Lig,Düzkaya KOSK,Bellapais Tatlısu HOSK,1,2,A,0,0,1200,https://ktff.org/maclar/1200
2011-10-23,2011-2012,Süper Lig,Mağusa Türk Gücü,Doğan Türk Birliği,1,1,D,0,0,1201,https://ktff.org/maclar/1201
2011-10-23,2011-2012,1. Lig,Yeniboğaziçi DSK,Binatlı YSK,1,1,D,0,0,1257,https://ktff.org/maclar/1257
2011-10-23,2011-2012,1. Lig,Türkmenköy ASK,Çanakkale TSK,5,0,H,0,0,1258,https://ktff.org/maclar/1258
2011-10-23,2011-2012,1. Lig,Esentepe KSKK,Mormenekşe GBSK,2,3,A,0,0,1259,https://ktff.org/maclar/1259
2011-10-29,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Düzkaya KOSK,1,1,D,0,0,1209,https://ktff.org/maclar/1209
2011-10-29,2011-2012,Süper Lig,Doğan Türk Birliği,Yenicami AK,4,5,A,0,0,1210,https://ktff.org/maclar/1210
2011-10-29,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Göçmenköy İYSK,1,0,H,0,0,1211,https://ktff.org/maclar/1211
2011-10-29,2011-2012,Süper Lig,Cihangir GSK,Türk Ocağı Limasol SK,2,0,H,0,0,1212,https://ktff.org/maclar/1212
2011-10-29,2011-2012,1. Lig,Hamitköy ŞHSK,Esentepe KSKK,1,2,A,0,0,1267,https://ktff.org/maclar/1267
2011-10-29,2011-2012,1. Lig,Alsancak Yeşilova SK,Türkmenköy ASK,0,0,D,0,0,1268,https://ktff.org/maclar/1268
2011-10-29,2011-2012,1. Lig,Binatlı YSK,Baf Ülkü Yurdu,2,2,D,0,0,1269,https://ktff.org/maclar/1269
2011-10-30,2011-2012,Süper Lig,Çetinkaya TSK,Gönyeli SK,2,0,H,0,0,1213,https://ktff.org/maclar/1213
2011-10-30,2011-2012,Süper Lig,Lapta Türk Birliği SK,Bostancı Bağcıl SK,0,0,D,0,0,1214,https://ktff.org/maclar/1214
2011-10-30,2011-2012,Süper Lig,Lefke TSK,Mağusa Türk Gücü,0,2,A,0,0,1215,https://ktff.org/maclar/1215
2011-10-30,2011-2012,1. Lig,Görneç KSK,Yeniboğaziçi DSK,1,3,A,0,0,1270,https://ktff.org/maclar/1270
2011-10-30,2011-2012,1. Lig,Gençlik Gücü TSK,Dumlupınar TSK,3,0,H,0,0,1271,https://ktff.org/maclar/1271
2011-10-30,2011-2012,1. Lig,Çanakkale TSK,Serdarlı GB,1,3,A,0,0,1272,https://ktff.org/maclar/1272
2011-10-30,2011-2012,1. Lig,Mormenekşe GBSK,Ozanköy SK,1,3,A,0,0,1273,https://ktff.org/maclar/1273
2011-11-04,2011-2012,Süper Lig,Yenicami AK,Lefke TSK,1,1,D,0,0,1229,https://ktff.org/maclar/1229
2011-11-05,2011-2012,Süper Lig,Bostancı Bağcıl SK,Türk Ocağı Limasol SK,4,0,H,0,0,1224,https://ktff.org/maclar/1224
2011-11-05,2011-2012,Süper Lig,Gönyeli SK,Lapta Türk Birliği SK,0,1,A,0,0,1225,https://ktff.org/maclar/1225
2011-11-05,2011-2012,Süper Lig,Düzkaya KOSK,Çetinkaya TSK,1,1,D,0,0,1226,https://ktff.org/maclar/1226
2011-11-05,2011-2012,Süper Lig,Göçmenköy İYSK,Küçük Kaymaklı TSK,0,1,A,0,0,1227,https://ktff.org/maclar/1227
2011-11-05,2011-2012,Süper Lig,Mağusa Türk Gücü,Bellapais Tatlısu HOSK,0,0,D,0,0,1228,https://ktff.org/maclar/1228
2011-11-05,2011-2012,Süper Lig,Doğan Türk Birliği,Cihangir GSK,4,2,H,0,0,1230,https://ktff.org/maclar/1230
2011-11-05,2011-2012,1. Lig,Dumlupınar TSK,Ozanköy SK,1,0,H,0,0,1281,https://ktff.org/maclar/1281
2011-11-05,2011-2012,1. Lig,Yeniboğaziçi DSK,Gençlik Gücü TSK,0,6,A,0,0,1282,https://ktff.org/maclar/1282
2011-11-05,2011-2012,1. Lig,Baf Ülkü Yurdu,Görneç KSK,1,3,A,0,0,1283,https://ktff.org/maclar/1283
2011-11-05,2011-2012,1. Lig,Türkmenköy ASK,Binatlı YSK,1,1,D,0,0,1284,https://ktff.org/maclar/1284
2011-11-05,2011-2012,1. Lig,Serdarlı GB,Alsancak Yeşilova SK,7,2,H,0,0,1285,https://ktff.org/maclar/1285
2011-11-05,2011-2012,1. Lig,Esentepe KSKK,Çanakkale TSK,8,0,H,0,0,1286,https://ktff.org/maclar/1286
2011-11-05,2011-2012,1. Lig,Hamitköy ŞHSK,Mormenekşe GBSK,1,2,A,0,0,1287,https://ktff.org/maclar/1287
2011-11-12,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Mağusa Türk Gücü,0,1,A,0,0,1238,https://ktff.org/maclar/1238
2011-11-12,2011-2012,Süper Lig,Lapta Türk Birliği SK,Düzkaya KOSK,3,3,D,0,0,1239,https://ktff.org/maclar/1239
2011-11-12,2011-2012,Süper Lig,Lefke TSK,Doğan Türk Birliği,1,3,A,0,0,1240,https://ktff.org/maclar/1240
2011-11-12,2011-2012,Süper Lig,Cihangir GSK,Bostancı Bağcıl SK,2,1,H,0,0,1241,https://ktff.org/maclar/1241
2011-11-12,2011-2012,1. Lig,Görneç KSK,Türkmenköy ASK,1,0,H,0,0,1295,https://ktff.org/maclar/1295
2011-11-12,2011-2012,1. Lig,Ozanköy SK,Yeniboğaziçi DSK,4,5,A,0,0,1296,https://ktff.org/maclar/1296
2011-11-12,2011-2012,1. Lig,Çanakkale TSK,Hamitköy ŞHSK,2,1,H,0,0,1297,https://ktff.org/maclar/1297
2011-11-12,2011-2012,1. Lig,Mormenekşe GBSK,Dumlupınar TSK,4,2,H,0,0,1298,https://ktff.org/maclar/1298
2011-11-13,2011-2012,Süper Lig,Çetinkaya TSK,Göçmenköy İYSK,5,0,H,0,0,1242,https://ktff.org/maclar/1242
2011-11-13,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Gönyeli SK,2,3,A,0,0,1243,https://ktff.org/maclar/1243
2011-11-13,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Yenicami AK,0,1,A,0,0,1244,https://ktff.org/maclar/1244
2011-11-13,2011-2012,1. Lig,Binatlı YSK,Serdarlı GB,0,2,A,0,0,1299,https://ktff.org/maclar/1299
2011-11-13,2011-2012,1. Lig,Gençlik Gücü TSK,Baf Ülkü Yurdu,3,0,H,0,0,1300,https://ktff.org/maclar/1300
2011-11-13,2011-2012,1. Lig,Alsancak Yeşilova SK,Esentepe KSKK,1,1,D,0,0,1301,https://ktff.org/maclar/1301
2011-11-19,2011-2012,Süper Lig,Düzkaya KOSK,Türk Ocağı Limasol SK,0,1,A,0,0,1389,https://ktff.org/maclar/1389
2011-11-19,2011-2012,Süper Lig,Yenicami AK,Küçük Kaymaklı TSK,2,4,A,0,0,1390,https://ktff.org/maclar/1390
2011-11-19,2011-2012,Süper Lig,Lefke TSK,Cihangir GSK,1,3,A,0,0,1391,https://ktff.org/maclar/1391
2011-11-19,2011-2012,1. Lig,Yeniboğaziçi DSK,Dumlupınar TSK,1,2,A,0,0,1459,https://ktff.org/maclar/1459
2011-11-19,2011-2012,1. Lig,Türkmenköy ASK,Gençlik Gücü TSK,1,1,D,0,0,1460,https://ktff.org/maclar/1460
2011-11-19,2011-2012,1. Lig,Serdarlı GB,Görneç KSK,0,0,D,0,0,1461,https://ktff.org/maclar/1461
2011-11-19,2011-2012,1. Lig,Çanakkale TSK,Mormenekşe GBSK,0,4,A,0,0,1462,https://ktff.org/maclar/1462
2011-11-20,2011-2012,Süper Lig,Gönyeli SK,Bostancı Bağcıl SK,1,1,D,0,0,1392,https://ktff.org/maclar/1392
2011-11-20,2011-2012,Süper Lig,Göçmenköy İYSK,Lapta Türk Birliği SK,1,0,H,0,0,1393,https://ktff.org/maclar/1393
2011-11-20,2011-2012,Süper Lig,Mağusa Türk Gücü,Çetinkaya TSK,0,2,A,0,0,1394,https://ktff.org/maclar/1394
2011-11-20,2011-2012,Süper Lig,Doğan Türk Birliği,Bellapais Tatlısu HOSK,3,2,H,0,0,1395,https://ktff.org/maclar/1395
2011-11-20,2011-2012,1. Lig,Baf Ülkü Yurdu,Ozanköy SK,1,1,D,0,0,1463,https://ktff.org/maclar/1463
2011-11-20,2011-2012,1. Lig,Esentepe KSKK,Binatlı YSK,0,1,A,0,0,1464,https://ktff.org/maclar/1464
2011-11-20,2011-2012,1. Lig,Hamitköy ŞHSK,Alsancak Yeşilova SK,5,1,H,0,0,1465,https://ktff.org/maclar/1465
2011-11-23,2011-2012,Süper Lig,Düzkaya KOSK,Türk Ocağı Limasol SK,4,3,H,0,1,1396,https://ktff.org/maclar/1396
2011-11-23,2011-2012,Süper Lig,Lefke TSK,Cihangir GSK,1,8,A,0,1,1398,https://ktff.org/maclar/1398
2011-11-23,2011-2012,Süper Lig,Göçmenköy İYSK,Lapta Türk Birliği SK,2,4,A,0,1,1400,https://ktff.org/maclar/1400
2011-11-23,2011-2012,Süper Lig,Mağusa Türk Gücü,Çetinkaya TSK,2,1,H,0,1,1401,https://ktff.org/maclar/1401
2011-11-23,2011-2012,Süper Lig,Doğan Türk Birliği,Bellapais Tatlısu HOSK,6,0,H,0,1,1402,https://ktff.org/maclar/1402
2011-11-23,2011-2012,1. Lig,Yeniboğaziçi DSK,Dumlupınar TSK,2,5,A,0,1,1466,https://ktff.org/maclar/1466
2011-11-23,2011-2012,1. Lig,Türkmenköy ASK,Gençlik Gücü TSK,0,3,A,0,1,1467,https://ktff.org/maclar/1467
2011-11-23,2011-2012,1. Lig,Serdarlı GB,Görneç KSK,1,0,H,0,1,1468,https://ktff.org/maclar/1468
2011-11-23,2011-2012,1. Lig,Çanakkale TSK,Mormenekşe GBSK,1,1,D,0,1,1469,https://ktff.org/maclar/1469
2011-11-23,2011-2012,1. Lig,Baf Ülkü Yurdu,Ozanköy SK,2,0,H,0,1,1470,https://ktff.org/maclar/1470
2011-11-23,2011-2012,1. Lig,Esentepe KSKK,Binatlı YSK,3,0,H,0,1,1471,https://ktff.org/maclar/1471
2011-11-23,2011-2012,1. Lig,Hamitköy ŞHSK,Alsancak Yeşilova SK,11,3,H,0,1,1472,https://ktff.org/maclar/1472
2011-12-02,2011-2012,Süper Lig,Çetinkaya TSK,Yenicami AK,2,0,H,0,0,1404,https://ktff.org/maclar/1404
2011-12-03,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Doğan Türk Birliği,3,0,H,0,0,1403,https://ktff.org/maclar/1403
2011-12-03,2011-2012,Süper Lig,Lapta Türk Birliği SK,Mağusa Türk Gücü,1,3,A,0,0,1405,https://ktff.org/maclar/1405
2011-12-03,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Göçmenköy İYSK,2,0,H,0,0,1406,https://ktff.org/maclar/1406
2011-12-03,2011-2012,Süper Lig,Bostancı Bağcıl SK,Düzkaya KOSK,4,1,H,0,0,1407,https://ktff.org/maclar/1407
2011-12-03,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Lefke TSK,2,5,A,0,0,1408,https://ktff.org/maclar/1408
2011-12-03,2011-2012,Süper Lig,Cihangir GSK,Gönyeli SK,4,3,H,0,0,1409,https://ktff.org/maclar/1409
2011-12-03,2011-2012,Süper Lig,Çetinkaya TSK,Yenicami AK,1,4,A,0,1,1411,https://ktff.org/maclar/1411
2011-12-03,2011-2012,1. Lig,Binatlı YSK,Hamitköy ŞHSK,0,1,A,0,0,1473,https://ktff.org/maclar/1473
2011-12-03,2011-2012,1. Lig,Görneç KSK,Esentepe KSKK,0,4,A,0,0,1474,https://ktff.org/maclar/1474
2011-12-03,2011-2012,1. Lig,Gençlik Gücü TSK,Serdarlı GB,0,0,D,0,0,1475,https://ktff.org/maclar/1475
2011-12-03,2011-2012,1. Lig,Ozanköy SK,Türkmenköy ASK,0,0,D,0,0,1476,https://ktff.org/maclar/1476
2011-12-03,2011-2012,1. Lig,Dumlupınar TSK,Baf Ülkü Yurdu,3,1,H,0,0,1477,https://ktff.org/maclar/1477
2011-12-03,2011-2012,1. Lig,Alsancak Yeşilova SK,Çanakkale TSK,1,0,H,0,0,1478,https://ktff.org/maclar/1478
2011-12-03,2011-2012,1. Lig,Mormenekşe GBSK,Yeniboğaziçi DSK,4,3,H,0,0,1479,https://ktff.org/maclar/1479
2011-12-10,2011-2012,Süper Lig,Mağusa Türk Gücü,Türk Ocağı Limasol SK,4,1,H,0,0,1417,https://ktff.org/maclar/1417
2011-12-10,2011-2012,Süper Lig,Yenicami AK,Lapta Türk Birliği SK,5,1,H,0,0,1418,https://ktff.org/maclar/1418
2011-12-10,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Cihangir GSK,1,3,A,0,0,1419,https://ktff.org/maclar/1419
2011-12-10,2011-2012,1. Lig,Baf Ülkü Yurdu,Yeniboğaziçi DSK,2,2,D,0,0,1487,https://ktff.org/maclar/1487
2011-12-10,2011-2012,1. Lig,Türkmenköy ASK,Dumlupınar TSK,3,1,H,0,0,1488,https://ktff.org/maclar/1488
2011-12-10,2011-2012,1. Lig,Serdarlı GB,Ozanköy SK,4,0,H,0,0,1489,https://ktff.org/maclar/1489
2011-12-10,2011-2012,1. Lig,Esentepe KSKK,Gençlik Gücü TSK,2,3,A,0,0,1490,https://ktff.org/maclar/1490
2011-12-11,2011-2012,Süper Lig,Düzkaya KOSK,Gönyeli SK,2,2,D,0,0,1420,https://ktff.org/maclar/1420
2011-12-11,2011-2012,Süper Lig,Göçmenköy İYSK,Bostancı Bağcıl SK,1,1,D,0,0,1421,https://ktff.org/maclar/1421
2011-12-11,2011-2012,Süper Lig,Doğan Türk Birliği,Çetinkaya TSK,0,5,A,0,0,1422,https://ktff.org/maclar/1422
2011-12-11,2011-2012,Süper Lig,Lefke TSK,Küçük Kaymaklı TSK,3,0,H,0,0,1423,https://ktff.org/maclar/1423
2011-12-11,2011-2012,1. Lig,Hamitköy ŞHSK,Görneç KSK,2,4,A,0,0,1491,https://ktff.org/maclar/1491
2011-12-11,2011-2012,1. Lig,Çanakkale TSK,Binatlı YSK,0,1,A,0,0,1492,https://ktff.org/maclar/1492
2011-12-11,2011-2012,1. Lig,Alsancak Yeşilova SK,Mormenekşe GBSK,1,5,A,0,0,1493,https://ktff.org/maclar/1493
2011-12-17,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Yenicami AK,2,3,A,0,0,1432,https://ktff.org/maclar/1432
2011-12-17,2011-2012,Süper Lig,Bostancı Bağcıl SK,Mağusa Türk Gücü,2,2,D,0,0,1433,https://ktff.org/maclar/1433
2011-12-17,2011-2012,Süper Lig,Gönyeli SK,Göçmenköy İYSK,2,0,H,0,0,1434,https://ktff.org/maclar/1434
2011-12-17,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Bellapais Tatlısu HOSK,4,2,H,0,0,1435,https://ktff.org/maclar/1435
2011-12-17,2011-2012,1. Lig,Görneç KSK,Çanakkale TSK,1,0,H,0,0,1501,https://ktff.org/maclar/1501
2011-12-17,2011-2012,1. Lig,Ozanköy SK,Esentepe KSKK,1,2,A,0,0,1502,https://ktff.org/maclar/1502
2011-12-17,2011-2012,1. Lig,Yeniboğaziçi DSK,Türkmenköy ASK,0,0,D,0,0,1503,https://ktff.org/maclar/1503
2011-12-18,2011-2012,Süper Lig,Çetinkaya TSK,Lefke TSK,2,0,H,0,0,1431,https://ktff.org/maclar/1431
2011-12-18,2011-2012,Süper Lig,Lapta Türk Birliği SK,Doğan Türk Birliği,0,1,A,0,0,1436,https://ktff.org/maclar/1436
2011-12-18,2011-2012,Süper Lig,Cihangir GSK,Düzkaya KOSK,2,1,H,0,0,1437,https://ktff.org/maclar/1437
2011-12-18,2011-2012,1. Lig,Binatlı YSK,Alsancak Yeşilova SK,2,0,H,0,0,1504,https://ktff.org/maclar/1504
2011-12-18,2011-2012,1. Lig,Gençlik Gücü TSK,Hamitköy ŞHSK,0,2,A,0,0,1505,https://ktff.org/maclar/1505
2011-12-18,2011-2012,1. Lig,Dumlupınar TSK,Serdarlı GB,2,2,D,0,0,1506,https://ktff.org/maclar/1506
2011-12-18,2011-2012,1. Lig,Mormenekşe GBSK,Baf Ülkü Yurdu,2,0,H,0,0,1507,https://ktff.org/maclar/1507
2011-12-24,2011-2012,Süper Lig,Mağusa Türk Gücü,Gönyeli SK,2,1,H,0,0,1445,https://ktff.org/maclar/1445
2011-12-24,2011-2012,Süper Lig,Yenicami AK,Bostancı Bağcıl SK,1,1,D,0,0,1446,https://ktff.org/maclar/1446
2011-12-24,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Çetinkaya TSK,0,1,A,0,0,1447,https://ktff.org/maclar/1447
2011-12-24,2011-2012,Süper Lig,Göçmenköy İYSK,Düzkaya KOSK,4,0,H,0,0,1448,https://ktff.org/maclar/1448
2011-12-24,2011-2012,Süper Lig,Doğan Türk Birliği,Türk Ocağı Limasol SK,1,3,A,0,0,1449,https://ktff.org/maclar/1449
2011-12-24,2011-2012,Süper Lig,Lefke TSK,Lapta Türk Birliği SK,1,1,D,0,0,1450,https://ktff.org/maclar/1450
2011-12-24,2011-2012,Süper Lig,Cihangir GSK,Küçük Kaymaklı TSK,2,1,H,0,0,1451,https://ktff.org/maclar/1451
2011-12-25,2011-2012,1. Lig,Serdarlı GB,Yeniboğaziçi DSK,8,0,H,0,0,1515,https://ktff.org/maclar/1515
2011-12-25,2011-2012,1. Lig,Hamitköy ŞHSK,Ozanköy SK,3,3,D,0,0,1516,https://ktff.org/maclar/1516
2011-12-25,2011-2012,1. Lig,Alsancak Yeşilova SK,Görneç KSK,1,1,D,0,0,1517,https://ktff.org/maclar/1517
2011-12-25,2011-2012,1. Lig,Türkmenköy ASK,Baf Ülkü Yurdu,3,2,H,0,0,1518,https://ktff.org/maclar/1518
