model,logloss,brier,isabet,test_mac
Gol farkı ağırlıklı (nihai),0.9588032346135288,0.5680963448465564,0.550603915035402,2401
Klasik ELO (sabit K),0.9636840115854047,0.5715660971788479,0.5422740524781341,2401
Sezon çekmesi yok,0.9622748926360682,0.5703387623058771,0.5481049562682215,2401
Taban oran (referans),1.049572458530851,0.6354956711692216,0.4523115368596418,2401
