date,sezon,takim,elo
2011-10-15,2011-2012,Baf Ülkü Yurdu,1403.1740646206454
2011-10-15,2011-2012,Alsancak Yeşilova SK,1410.3598843539078
2011-10-15,2011-2012,Yeniboğaziçi DSK,1391.298057815056
2011-10-16,2011-2012,Doğan Türk Birliği,1484.1997013216912
2011-10-16,2011-2012,Göçmenköy İYSK,1315.0191445585074
2011-10-16,2011-2012,Cihangir GSK,1325.2105416092227
2011-10-16,2011-2012,Lapta Türk Birliği SK,1445.432303854256
2011-10-16,2011-2012,Küçük Kaymaklı TSK,1559.51882624547
2011-10-16,2011-2012,Bostancı Bağcıl SK,1403.7353917497148
2011-10-16,2011-2012,Bellapais Tatlısu HOSK,1430.0646263560823
2011-10-16,2011-2012,Gönyeli SK,1316.212571446774
2011-10-16,2011-2012,Binatlı YSK,1377.7767058721834
2011-10-16,2011-2012,Dumlupınar TSK,1317.4250757592338
2011-10-16,2011-2012,Esentepe KSKK,1371.8245684553667
2011-10-16,2011-2012,Serdarlı GB,1337.2397303054631
2011-10-16,2011-2012,Hamitköy ŞHSK,1381.7572687097888
2011-10-16,2011-2012,Türkmenköy ASK,1411.6069071099007
2011-10-16,2011-2012,Mormenekşe GBSK,1391.3048291961757
2011-10-16,2011-2012,Gençlik Gücü TSK,1468.8247651914667
2011-10-22,2011-2012,Türk Ocağı Limasol SK,1381.8213779759562
2011-10-22,2011-2012,Lapta Türk Birliği SK,1445.211755402877
2011-10-22,2011-2012,Göçmenköy İYSK,1319.8094883129543
2011-10-22,2011-2012,Lefke TSK,1455.0940609214338
2011-10-22,2011-2012,Yenicami AK,1518.6333535071178
2011-10-22,2011-2012,Cihangir GSK,1310.0315123043795
2011-10-22,2011-2012,Ozanköy SK,1369.0603652769835
2011-10-22,2011-2012,Gençlik Gücü TSK,1506.0507943822588
2011-10-22,2011-2012,Dumlupınar TSK,1319.1772681504385
2011-10-22,2011-2012,Görneç KSK,1406.1898203181747
2011-10-22,2011-2012,Baf Ülkü Yurdu,1380.1570389109827
2011-10-22,2011-2012,Alsancak Yeşilova SK,1433.3769100635704
2011-10-22,2011-2012,Serdarlı GB,1336.3490776427514
2011-10-22,2011-2012,Hamitköy ŞHSK,1382.6479213725006
2011-10-23,2011-2012,Bostancı Bağcıl SK,1386.4890664637346
2011-10-23,2011-2012,Çetinkaya TSK,1529.1237058295962
2011-10-23,2011-2012,Gönyeli SK,1300.7188526202378
2011-10-23,2011-2012,Küçük Kaymaklı TSK,1575.0125450720063
2011-10-23,2011-2012,Düzkaya KOSK,1289.4857521982503
2011-10-23,2011-2012,Bellapais Tatlısu HOSK,1446.4085267234645
2011-10-23,2011-2012,Mağusa Türk Gücü,1468.2553308195652
2011-10-23,2011-2012,Doğan Türk Birliği,1486.8735632940977
2011-10-23,2011-2012,Yeniboğaziçi DSK,1387.1278894504246
2011-10-23,2011-2012,Binatlı YSK,1381.9468742368147
2011-10-23,2011-2012,Türkmenköy ASK,1432.5735327665448
2011-10-23,2011-2012,Çanakkale TSK,1270.8126546890082
2011-10-23,2011-2012,Esentepe KSKK,1349.5025826772412
2011-10-23,2011-2012,Mormenekşe GBSK,1413.6268149743012
2011-10-29,2011-2012,Küçük Kaymaklı TSK,1559.8270017139566
2011-10-29,2011-2012,Düzkaya KOSK,1304.6712955563
2011-10-29,2011-2012,Doğan Türk Birliği,1465.251496760574
2011-10-29,2011-2012,Yenicami AK,1540.2554200406416
2011-10-29,2011-2012,Bellapais Tatlısu HOSK,1456.5931104212707
2011-10-29,2011-2012,Göçmenköy İYSK,1309.6249046151481
2011-10-29,2011-2012,Cihangir GSK,1341.0491405654516
2011-10-29,2011-2012,Türk Ocağı Limasol SK,1350.8037497148841
2011-10-29,2011-2012,Hamitköy ŞHSK,1357.4109162514621
2011-10-29,2011-2012,Esentepe KSKK,1374.7395877982797
2011-10-29,2011-2012,Alsancak Yeşilova SK,1429.9120868667258
2011-10-29,2011-2012,Türkmenköy ASK,1436.0383559633894
2011-10-29,2011-2012,Binatlı YSK,1378.4269974410822
2011-10-29,2011-2012,Baf Ülkü Yurdu,1383.6769157067151
2011-10-30,2011-2012,Çetinkaya TSK,1538.7078810205817
2011-10-30,2011-2012,Gönyeli SK,1291.1346774292524
2011-10-30,2011-2012,Lapta Türk Birliği SK,1438.6316678979445
2011-10-30,2011-2012,Bostancı Bağcıl SK,1393.0691539686673
2011-10-30,2011-2012,Lefke TSK,1421.074004524482
2011-10-30,2011-2012,Mağusa Türk Gücü,1502.275387216517
2011-10-30,2011-2012,Görneç KSK,1369.4785101525279
2011-10-30,2011-2012,Yeniboğaziçi DSK,1423.8391996160715
2011-10-30,2011-2012,Gençlik Gücü TSK,1519.6648379438932
2011-10-30,2011-2012,Dumlupınar TSK,1305.5632245888041
2011-10-30,2011-2012,Çanakkale TSK,1241.2906674155508
2011-10-30,2011-2012,Serdarlı GB,1365.8710649162088
2011-10-30,2011-2012,Mormenekşe GBSK,1374.860911454765
2011-10-30,2011-2012,Ozanköy SK,1407.8262687965196
2011-11-04,2011-2012,Yenicami AK,1530.7675347205488
2011-11-04,2011-2012,Lefke TSK,1430.5618898445748
2011-11-05,2011-2012,Bostancı Bağcıl SK,1419.8393672295565
2011-11-05,2011-2012,Türk Ocağı Limasol SK,1324.0335364539949
2011-11-05,2011-2012,Gönyeli SK,1276.067563409131
2011-11-05,2011-2012,Lapta Türk Birliği SK,1453.6987819180658
2011-11-05,2011-2012,Düzkaya KOSK,1313.928064826867
2011-11-05,2011-2012,Çetinkaya TSK,1529.4511117500147
2011-11-05,2011-2012,Göçmenköy İYSK,1299.5969711241257
2011-11-05,2011-2012,Küçük Kaymaklı TSK,1569.854935204979
2011-11-05,2011-2012,Mağusa Türk Gücü,1496.372758722179
2011-11-05,2011-2012,Bellapais Tatlısu HOSK,1462.4957389156086
2011-11-05,2011-2012,Doğan Türk Birliği,1480.6860054147585
2011-11-05,2011-2012,Cihangir GSK,1325.614631911267
2011-11-05,2011-2012,Dumlupınar TSK,1327.9841519399185
2011-11-05,2011-2012,Ozanköy SK,1385.4053414454052
2011-11-05,2011-2012,Yeniboğaziçi DSK,1385.7060986472181
2011-11-05,2011-2012,Gençlik Gücü TSK,1557.7979389127465
2011-11-05,2011-2012,Baf Ülkü Yurdu,1347.3657660931449
2011-11-05,2011-2012,Görneç KSK,1405.789659766098
2011-11-05,2011-2012,Türkmenköy ASK,1429.5153769640965
2011-11-05,2011-2012,Binatlı YSK,1384.9499764403752
2011-11-05,2011-2012,Serdarlı GB,1406.3362837833035
2011-11-05,2011-2012,Alsancak Yeşilova SK,1389.446867999631
2011-11-05,2011-2012,Esentepe KSKK,1398.2239477725589
2011-11-05,2011-2012,Çanakkale TSK,1217.8063074412717
