match_id,date,sezon,lig,home,away,hg,ag,sonuc,elo_home_pre,elo_away_pre,elo_diff,elo_diff_hfa,p_exp_home,elo_home_post,elo_away_post
1002,2011-09-24,2011-2012,Süper Lig,Çetinkaya TSK,Küçük Kaymaklı TSK,2,3,A,1520.0,1480.0,40.0,100.0,0.6400649998028851,1494.3974000078847,1505.6025999921153
1003,2011-09-24,2011-2012,Süper Lig,Lapta Türk Birliği SK,Bellapais Tatlısu HOSK,6,1,H,1460.0,1446.6666666666667,13.333333333333258,73.33333333333326,0.6039953630983282,1491.6803709521337,1414.986295714533
1004,2011-09-24,2011-2012,Süper Lig,Bostancı Bağcıl SK,Doğan Türk Birliği,2,0,H,1436.6666666666667,1428.6666666666667,8.0,68.0,0.596629173305774,1460.8689162683204,1404.464417065013
1005,2011-09-24,2011-2012,Süper Lig,Düzkaya KOSK,Mağusa Türk Gücü,0,2,A,1422.0,1416.2857142857142,5.714285714285779,65.71428571428578,0.593458636092485,1386.3924818344508,1451.8932324512634
1059,2011-09-24,2011-2012,1. Lig,Görneç KSK,Binatlı YSK,1,2,A,1411.2857142857142,1406.8412698412696,4.444444444444571,64.44444444444457,0.5916938373353295,1387.6179607923011,1430.5090233346828
1060,2011-09-24,2011-2012,1. Lig,Ozanköy SK,Çanakkale TSK,6,0,H,1402.8412698412696,1399.2049062049061,3.6363636363635123,63.63636363636351,0.5905695483217913,1437.6428582339174,1364.4033178122584
1061,2011-09-24,2011-2012,1. Lig,Gençlik Gücü TSK,Alsancak Yeşilova SK,5,0,H,1395.8715728715727,1392.7946497946496,3.0769230769230944,63.076923076923094,0.5897906385528987,1428.6883217873408,1359.9779008788814
1006,2011-09-25,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Lefke TSK,3,3,D,1389.937506937507,1387.2708402708402,2.6666666666667425,62.66666666666674,0.5892191514734697,1386.3687408785681,1390.839606329779
1007,2011-09-25,2011-2012,Süper Lig,Gönyeli SK,Yenicami AK,1,4,A,1384.7708402708402,1382.4178990943697,2.3529411764704946,62.352941176470495,0.5887819693357719,1343.5561024173362,1423.6326369478736
1008,2011-09-25,2011-2012,Süper Lig,Göçmenköy İYSK,Cihangir GSK,2,1,H,1380.1956768721475,1378.0904137142527,2.1052631578947967,62.1052631578948,0.588436726467524,1396.6582078134466,1361.6278827729536
1062,2011-09-25,2011-2012,1. Lig,Dumlupınar TSK,Hamitköy ŞHSK,0,2,A,1376.0904137142527,1374.1856518094908,1.9047619047619264,61.904761904761926,0.5881571803560102,1340.800982892892,1409.4750826308514
1063,2011-09-25,2011-2012,1. Lig,Türkmenköy ASK,Mormenekşe GBSK,0,0,D,1372.367469991309,1370.6283395565263,1.7391304347827372,61.73913043478274,0.5879262080405,1368.850421669689,1374.1453878781463
1064,2011-09-25,2011-2012,1. Lig,Yeniboğaziçi DSK,Esentepe KSKK,3,1,H,1368.9616728898598,1367.3616728898598,1.599999999999909,61.59999999999991,0.5877321613612967,1393.697743208182,1342.6256025715377
1065,2011-09-25,2011-2012,1. Lig,Baf Ülkü Yurdu,Serdarlı GB,1,0,H,1365.8232113513984,1364.3417298699167,1.481481481481751,61.48148148148175,0.5875668408259095,1382.320537718362,1347.8444035029531
1009,2011-10-01,2011-2012,Süper Lig,Mağusa Türk Gücü,Göçmenköy İYSK,3,0,H,1451.8932324512634,1396.6582078134466,55.23502463781688,115.23502463781688,0.6600116479225474,1475.6924170966852,1372.8590231680248
1010,2011-10-01,2011-2012,Süper Lig,Yenicami AK,Düzkaya KOSK,3,0,H,1423.6326369478736,1386.3924818344508,37.240155113422816,97.24015511342282,0.6363968518302029,1449.0848573197593,1360.940261462565
1011,2011-10-01,2011-2012,Süper Lig,Doğan Türk Birliği,Gönyeli SK,3,1,H,1404.464417065013,1343.5561024173362,60.90831464767689,120.90831464767689,0.667301258895397,1424.4263415312894,1323.59417795106
1012,2011-10-01,2011-2012,Süper Lig,Cihangir GSK,Çetinkaya TSK,0,0,D,1361.6278827729536,1494.3974000078847,-132.76951723493107,-72.76951723493107,0.39678119378585425,1365.7566350215195,1490.2686477593188
1014,2011-10-01,2011-2012,Süper Lig,Lefke TSK,Bostancı Bağcıl SK,3,0,H,1390.839606329779,1460.8689162683204,-70.02930993854147,-10.029309938541473,0.4855706704680376,1426.8496593970162,1424.858863201083
1067,2011-10-01,2011-2012,1. Lig,Esentepe KSKK,Baf Ülkü Yurdu,4,3,H,1342.6256025715377,1382.320537718362,-39.694935146824264,20.305064853175736,0.5291881137243072,1361.4580780225654,1363.4880622673343
1068,2011-10-01,2011-2012,1. Lig,Hamitköy ŞHSK,Yeniboğaziçi DSK,1,1,D,1409.4750826308514,1393.697743208182,15.777339422669456,75.77733942266946,0.6073554441614435,1405.1808648643937,1397.9919609746396
1013,2011-10-02,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Göçmenköy İYSK,2,1,H,1505.6025999921153,1372.8590231680248,132.7435768240905,192.7435768240905,0.7520398406979258,1515.5210063641982,1362.9406167959419
1015,2011-10-02,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Türk Ocağı Limasol SK,2,0,H,1414.986295714533,1386.3687408785681,28.61755483596494,88.61755483596494,0.624835460902903,1437.496168060359,1363.8588685327422
1041,2011-10-02,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Lapta Türk Birliği SK,7,1,H,1515.5210063641982,1491.6803709521337,23.840635412064557,83.84063541206456,0.6183676548013838,1547.9597557060806,1459.2416216102513
1066,2011-10-02,2011-2012,1. Lig,Binatlı YSK,Gençlik Gücü TSK,0,7,A,1430.5090233346828,1428.6883217873408,1.8207015473419688,61.82070154734197,0.5880399634240876,1377.5854266265148,1481.6119184955087
1069,2011-10-02,2011-2012,1. Lig,Mormenekşe GBSK,Görneç KSK,0,0,D,1374.1453878781463,1387.6179607923011,-13.472572914154853,46.52742708584515,0.5665609307168606,1371.4829506494718,1390.2803980209756
1070,2011-10-02,2011-2012,1. Lig,Alsancak Yeşilova SK,Ozanköy SK,0,1,A,1359.9779008788814,1437.6428582339174,-77.664957355036,-17.664957355035995,0.4745999662285208,1340.9939022297406,1456.6268568830583
1071,2011-10-02,2011-2012,1. Lig,Serdarlı GB,Türkmenköy ASK,0,0,D,1347.8444035029531,1368.850421669689,-21.006018166735885,38.993981833264115,0.5558824084810492,1345.609107163711,1371.085718008931
1072,2011-10-02,2011-2012,1. Lig,Çanakkale TSK,Dumlupınar TSK,2,2,D,1364.4033178122584,1340.800982892892,23.602334919366285,83.60233491936629,0.6180438800088314,1359.681562611905,1345.5227380932454
1018,2011-10-08,2011-2012,Süper Lig,Lapta Türk Birliği SK,Çetinkaya TSK,0,2,A,1459.2416216102513,1490.2686477593188,-31.027026149067524,28.972973850932476,0.5415990784298095,1426.7456769044627,1522.7645924651074
1020,2011-10-08,2011-2012,Süper Lig,Düzkaya KOSK,Doğan Türk Birliği,0,5,A,1360.940261462565,1424.4263415312894,-63.48608006872428,-3.4860800687242772,0.49498329585331946,1321.3415977942996,1464.025005199555
1021,2011-10-08,2011-2012,Süper Lig,Bostancı Bağcıl SK,Bellapais Tatlısu HOSK,1,1,D,1424.858863201083,1437.496168060359,-12.6373048592759,47.3626951407241,0.567741296040874,1422.1492113594481,1440.205819901994
1073,2011-10-08,2011-2012,1. Lig,Gençlik Gücü TSK,Görneç KSK,6,0,H,1481.6119184955087,1390.2803980209756,91.33152047453314,151.33152047453314,0.7049816586421578,1506.6884775109252,1365.203839005559
1074,2011-10-08,2011-2012,1. Lig,Dumlupınar TSK,Alsancak Yeşilova SK,1,3,A,1345.5227380932454,1340.9939022297406,4.52883586350481,64.52883586350481,0.5918111966634223,1310.01406629344,1376.502574029546
1075,2011-10-08,2011-2012,1. Lig,Türkmenköy ASK,Esentepe KSKK,2,1,H,1371.085718008931,1361.4580780225654,9.627639986365693,69.6276399863657,0.5988819950449654,1387.1304382071323,1345.413357824364
1077,2011-10-08,2011-2012,1. Lig,Serdarlı GB,Mormenekşe GBSK,2,1,H,1345.609107163711,1371.4829506494718,-25.873843485760744,34.126156514239256,0.5489541556811317,1363.6509409364658,1353.4411168767172
1016,2011-10-09,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Küçük Kaymaklı TSK,2,2,D,1363.8588685327422,1547.9597557060806,-184.10088717333838,-124.10088717333838,0.3286312732414044,1370.713617603086,1541.1050066357368
1017,2011-10-09,2011-2012,Süper Lig,Gönyeli SK,Lefke TSK,0,1,A,1323.59417795106,1426.8496593970162,-103.25548144595632,-43.25548144595632,0.43807000125493517,1306.0713779008624,1444.3724594472137
1019,2011-10-09,2011-2012,Süper Lig,Göçmenköy İYSK,Yenicami AK,1,3,A,1362.9406167959419,1449.0848573197593,-86.14424052381742,-26.144240523817416,0.46244626858830434,1335.1938406806437,1476.8316334350575
1022,2011-10-09,2011-2012,Süper Lig,Mağusa Türk Gücü,Cihangir GSK,6,1,H,1475.6924170966852,1365.7566350215195,109.93578207516566,169.93578207516566,0.7267566692187047,1497.5518835591888,1343.8971685590159
1076,2011-10-09,2011-2012,1. Lig,Baf Ülkü Yurdu,Hamitköy ŞHSK,1,1,D,1363.4880622673343,1405.1808648643937,-41.692802597059426,18.307197402940574,0.5263218187040862,1362.4351895191708,1406.2337376125572
1078,2011-10-09,2011-2012,1. Lig,Ozanköy SK,Binatlı YSK,4,4,D,1456.6268568830583,1377.5854266265148,79.04143025654344,139.04143025654344,0.6900572177865544,1449.024568171596,1385.1877153379771
1079,2011-10-09,2011-2012,1. Lig,Yeniboğaziçi DSK,Çanakkale TSK,5,1,H,1397.9919609746396,1359.681562611905,38.31039836273453,98.31039836273453,0.6378212378029585,1425.1553681394178,1332.518155447127
1023,2011-10-15,2011-2012,Süper Lig,Çetinkaya TSK,Türk Ocağı Limasol SK,4,4,D,1522.7645924651074,1370.713617603086,152.05097486202135,212.05097486202135,0.7721802980372819,1511.877380543616,1381.6008295245774
1025,2011-10-15,2011-2012,Süper Lig,Lefke TSK,Düzkaya KOSK,3,1,H,1444.3724594472137,1321.3415977942996,123.03086165291415,183.03086165291415,0.7414675795222162,1459.8844046758807,1305.8296525656326
1028,2011-10-15,2011-2012,Süper Lig,Yenicami AK,Mağusa Türk Gücü,3,1,H,1476.8316334350575,1497.5518835591888,-20.720250124131326,39.279749875868674,0.5562884872130495,1503.4543242022746,1470.9291927919717
1080,2011-10-15,2011-2012,1. Lig,Görneç KSK,Ozanköy SK,6,1,H,1365.203839005559,1449.024568171596,-83.82072916603693,-23.820729166036926,0.46577282870224557,1407.9420127093795,1406.2863944677756
1081,2011-10-15,2011-2012,1. Lig,Çanakkale TSK,Baf Ülkü Yurdu,0,4,A,1332.518155447127,1362.4351895191708,-29.91703407204386,30.08296592795614,0.5431850013529933,1291.7792803456523,1403.1740646206454
1082,2011-10-15,2011-2012,1. Lig,Alsancak Yeşilova SK,Yeniboğaziçi DSK,4,1,H,1376.502574029546,1425.1553681394178,-48.65279410987182,11.34720589012818,0.516324138223404,1410.3598843539078,1391.298057815056
1024,2011-10-16,2011-2012,Süper Lig,Doğan Türk Birliği,Göçmenköy İYSK,6,1,H,1464.025005199555,1335.1938406806437,128.83116451891124,188.83116451891124,0.7478162984732953,1484.1997013216912,1315.0191445585074
1026,2011-10-16,2011-2012,Süper Lig,Cihangir GSK,Lapta Türk Birliği SK,0,1,A,1343.8971685590159,1426.7456769044627,-82.84850834544682,-22.848508345446817,0.46716567374483253,1325.2105416092227,1445.432303854256
1027,2011-10-16,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Bostancı Bağcıl SK,3,0,H,1541.1050066357368,1422.1492113594481,118.95579527628865,178.95579527628865,0.7369454341466675,1559.51882624547,1403.7353917497148
1029,2011-10-16,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Gönyeli SK,0,0,D,1440.205819901994,1306.0713779008624,134.13444200113145,194.13444200113145,0.7535298386477878,1430.0646263560823,1316.212571446774
1083,2011-10-16,2011-2012,1. Lig,Binatlı YSK,Dumlupınar TSK,0,0,D,1385.1877153379771,1310.01406629344,75.17364904453711,135.17364904453711,0.6852752366448469,1377.7767058721834,1317.4250757592338
1084,2011-10-16,2011-2012,1. Lig,Esentepe KSKK,Serdarlı GB,2,0,H,1345.413357824364,1363.6509409364658,-18.237583112101674,41.762416887898326,0.5598131561499559,1371.8245684553667,1337.2397303054631
1085,2011-10-16,2011-2012,1. Lig,Hamitköy ŞHSK,Türkmenköy ASK,1,2,A,1406.2337376125572,1387.1304382071323,19.103299405424877,79.10329940542488,0.6119117225692098,1381.7572687097888,1411.6069071099007
1086,2011-10-16,2011-2012,1. Lig,Mormenekşe GBSK,Gençlik Gücü TSK,3,1,H,1353.4411168767172,1506.6884775109252,-153.247360634208,-93.24736063420801,0.36893812800902526,1391.3048291961757,1468.8247651914667
1195,2011-10-22,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Lapta Türk Birliği SK,1,1,D,1381.6008295245774,1445.432303854256,-63.831474329678485,-3.8314743296784854,0.4944862887155296,1381.8213779759562,1445.211755402877
1196,2011-10-22,2011-2012,Süper Lig,Göçmenköy İYSK,Lefke TSK,1,1,D,1315.0191445585074,1459.8844046758807,-144.86526011737328,-84.86526011737328,0.3802414061388255,1319.8094883129543,1455.0940609214338
1197,2011-10-22,2011-2012,Süper Lig,Yenicami AK,Cihangir GSK,4,0,H,1503.4543242022746,1325.2105416092227,178.24378259305195,238.24378259305195,0.7976129426020904,1518.6333535071178,1310.0315123043795
1252,2011-10-22,2011-2012,1. Lig,Ozanköy SK,Gençlik Gücü TSK,1,5,A,1406.2863944677756,1468.8247651914667,-62.53837072369106,-2.5383707236910595,0.49634705587722733,1369.0603652769835,1506.0507943822588
1254,2011-10-22,2011-2012,1. Lig,Dumlupınar TSK,Görneç KSK,1,1,D,1317.4250757592338,1407.9420127093795,-90.51693695014569,-30.51693695014569,0.4561951902198791,1319.1772681504385,1406.1898203181747
1255,2011-10-22,2011-2012,1. Lig,Baf Ülkü Yurdu,Alsancak Yeşilova SK,0,1,A,1403.1740646206454,1410.3598843539078,-7.185819733262406,52.814180266737594,0.5754256427415696,1380.1570389109827,1433.3769100635704
1256,2011-10-22,2011-2012,1. Lig,Serdarlı GB,Hamitköy ŞHSK,2,2,D,1337.2397303054631,1381.7572687097888,-44.517538404325705,15.482461595674295,0.5222663165677961,1336.3490776427514,1382.6479213725006
1198,2011-10-23,2011-2012,Süper Lig,Bostancı Bağcıl SK,Çetinkaya TSK,0,1,A,1403.7353917497148,1511.877380543616,-108.14198879390119,-48.14198879390119,0.43115813214950793,1386.4890664637346,1529.1237058295962
1199,2011-10-23,2011-2012,Süper Lig,Gönyeli SK,Küçük Kaymaklı TSK,1,3,A,1316.212571446774,1559.51882624547,-243.30625479869605,-183.30625479869605,0.2582286471089375,1300.7188526202378,1575.0125450720063
1200,2011-10-23,2011-2012,Süper Lig,Düzkaya KOSK,Bellapais Tatlısu HOSK,1,2,A,1305.8296525656326,1430.0646263560823,-124.23497379044966,-64.23497379044966,0.40859750918455406,1289.4857521982503,1446.4085267234645
1201,2011-10-23,2011-2012,Süper Lig,Mağusa Türk Gücü,Doğan Türk Birliği,1,1,D,1470.9291927919717,1484.1997013216912,-13.270508529719564,46.729491470280436,0.5668465493101624,1468.2553308195652,1486.8735632940977
1257,2011-10-23,2011-2012,1. Lig,Yeniboğaziçi DSK,Binatlı YSK,1,1,D,1391.298057815056,1377.7767058721834,13.52135194287257,73.52135194287257,0.6042542091157825,1387.1278894504246,1381.9468742368147
1258,2011-10-23,2011-2012,1. Lig,Türkmenköy ASK,Çanakkale TSK,5,0,H,1411.6069071099007,1291.7792803456523,119.82762676424841,179.8276267642484,0.7379171792919501,1432.5735327665448,1270.8126546890082
1259,2011-10-23,2011-2012,1. Lig,Esentepe KSKK,Mormenekşe GBSK,2,3,A,1371.8245684553667,1391.3048291961757,-19.480260740808944,40.519739259191056,0.5580496444531374,1349.5025826772412,1413.6268149743012
1209,2011-10-29,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Düzkaya KOSK,1,1,D,1575.0125450720063,1289.4857521982503,285.526792873756,345.526792873756,0.8796385839512441,1559.8270017139566,1304.6712955563
1210,2011-10-29,2011-2012,Süper Lig,Doğan Türk Birliği,Yenicami AK,4,5,A,1486.8735632940977,1518.6333535071178,-31.759790213020096,28.240209786979904,0.5405516633380956,1465.251496760574,1540.2554200406416
1211,2011-10-29,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Göçmenköy İYSK,1,0,H,1446.4085267234645,1319.8094883129543,126.59903841051027,186.59903841051027,0.745385407554847,1456.5931104212707,1309.6249046151481
1212,2011-10-29,2011-2012,Süper Lig,Cihangir GSK,Türk Ocağı Limasol SK,2,0,H,1310.0315123043795,1381.8213779759562,-71.78986567157676,-11.789865671576763,0.4830395289821323,1341.0491405654516,1350.8037497148841
1267,2011-10-29,2011-2012,1. Lig,Hamitköy ŞHSK,Esentepe KSKK,1,2,A,1382.6479213725006,1349.5025826772412,33.1453386952594,93.1453386952594,0.6309251280259598,1357.4109162514621,1374.7395877982797
1268,2011-10-29,2011-2012,1. Lig,Alsancak Yeşilova SK,Türkmenköy ASK,0,0,D,1433.3769100635704,1432.5735327665448,0.8033772970256905,60.80337729702569,0.5866205799211187,1429.9120868667258,1436.0383559633894
1269,2011-10-29,2011-2012,1. Lig,Binatlı YSK,Baf Ülkü Yurdu,2,2,D,1381.9468742368147,1380.1570389109827,1.789835325831973,61.78983532583197,0.5879969198933133,1378.4269974410822,1383.6769157067151
1213,2011-10-30,2011-2012,Süper Lig,Çetinkaya TSK,Gönyeli SK,2,0,H,1529.1237058295962,1300.7188526202378,228.4048532093584,288.4048532093584,0.8402637468169076,1538.7078810205817,1291.1346774292524
1214,2011-10-30,2011-2012,Süper Lig,Lapta Türk Birliği SK,Bostancı Bağcıl SK,0,0,D,1445.211755402877,1386.4890664637346,58.72268893914247,118.72268893914247,0.6645021876233156,1438.6316678979445,1393.0691539686673
1215,2011-10-30,2011-2012,Süper Lig,Lefke TSK,Mağusa Türk Gücü,0,2,A,1455.0940609214338,1468.2553308195652,-13.161269898131422,46.83873010186858,0.5670009399491972,1421.074004524482,1502.275387216517
1270,2011-10-30,2011-2012,1. Lig,Görneç KSK,Yeniboğaziçi DSK,1,3,A,1406.1898203181747,1387.1278894504246,19.061930867750107,79.0619308677501,0.6118551694274483,1369.4785101525279,1423.8391996160715
1271,2011-10-30,2011-2012,1. Lig,Gençlik Gücü TSK,Dumlupınar TSK,3,0,H,1506.0507943822588,1319.1772681504385,186.87352623182028,246.87352623182028,0.8055136634052225,1519.6648379438932,1305.5632245888041
1272,2011-10-30,2011-2012,1. Lig,Çanakkale TSK,Serdarlı GB,1,3,A,1270.8126546890082,1336.3490776427514,-65.53642295374311,-5.536422953743113,0.4920331212242885,1241.2906674155508,1365.8710649162088
1273,2011-10-30,2011-2012,1. Lig,Mormenekşe GBSK,Ozanköy SK,1,3,A,1413.6268149743012,1369.0603652769835,44.566449697317694,104.5664496973177,0.6460983919922688,1374.860911454765,1407.8262687965196
1229,2011-11-04,2011-2012,Süper Lig,Yenicami AK,Lefke TSK,1,1,D,1540.2554200406416,1421.074004524482,119.18141551615963,179.18141551615963,0.7371971330023226,1530.7675347205488,1430.5618898445748
1224,2011-11-05,2011-2012,Süper Lig,Bostancı Bağcıl SK,Türk Ocağı Limasol SK,4,0,H,1393.0691539686673,1350.8037497148841,42.26540425378312,102.26540425378312,0.643063823188143,1419.8393672295565,1324.0335364539949
1225,2011-11-05,2011-2012,Süper Lig,Gönyeli SK,Lapta Türk Birliği SK,0,1,A,1291.1346774292524,1438.6316678979445,-147.49699046869205,-87.49699046869205,0.3766778505030317,1276.067563409131,1453.6987819180658
1226,2011-11-05,2011-2012,Süper Lig,Düzkaya KOSK,Çetinkaya TSK,1,1,D,1304.6712955563,1538.7078810205817,-234.03658546428164,-174.03658546428164,0.26858076823582694,1313.928064826867,1529.4511117500147
1227,2011-11-05,2011-2012,Süper Lig,Göçmenköy İYSK,Küçük Kaymaklı TSK,0,1,A,1309.6249046151481,1559.8270017139566,-250.2020970988085,-190.2020970988085,0.2506983372755615,1299.5969711241257,1569.854935204979
1228,2011-11-05,2011-2012,Süper Lig,Mağusa Türk Gücü,Bellapais Tatlısu HOSK,0,0,D,1502.275387216517,1456.5931104212707,45.68227679524625,105.68227679524625,0.6475657123584477,1496.372758722179,1462.4957389156086
1230,2011-11-05,2011-2012,Süper Lig,Doğan Türk Birliği,Cihangir GSK,4,2,H,1465.251496760574,1341.0491405654516,124.20235619512232,184.20235619512232,0.7427581890969222,1480.6860054147585,1325.614631911267
1281,2011-11-05,2011-2012,1. Lig,Dumlupınar TSK,Ozanköy SK,1,0,H,1305.5632245888041,1407.8262687965196,-102.26304420771544,-42.26304420771544,0.4394768162221408,1327.9841519399185,1385.4053414454052
1282,2011-11-05,2011-2012,1. Lig,Yeniboğaziçi DSK,Gençlik Gücü TSK,0,6,A,1423.8391996160715,1519.6648379438932,-95.82563832782171,-35.82563832782171,0.4486247172806271,1385.7060986472181,1557.7979389127465
1283,2011-11-05,2011-2012,1. Lig,Baf Ülkü Yurdu,Görneç KSK,1,3,A,1383.6769157067151,1369.4785101525279,14.198405554187275,74.19840555418727,0.6051858268928387,1347.3657660931449,1405.789659766098
1284,2011-11-05,2011-2012,1. Lig,Türkmenköy ASK,Binatlı YSK,1,1,D,1436.0383559633894,1378.4269974410822,57.61135852230723,117.61135852230723,0.6630744749823226,1429.5153769640965,1384.9499764403752
1285,2011-11-05,2011-2012,1. Lig,Serdarlı GB,Alsancak Yeşilova SK,7,2,H,1365.8710649162088,1429.9120868667258,-64.041021950517,-4.041021950517006,0.49418476416131435,1406.3362837833035,1389.446867999631
1286,2011-11-05,2011-2012,1. Lig,Esentepe KSKK,Çanakkale TSK,8,0,H,1374.7395877982797,1241.2906674155508,133.44892038272883,193.44892038272883,0.7527962107970604,1398.2239477725589,1217.8063074412717
1287,2011-11-05,2011-2012,1. Lig,Hamitköy ŞHSK,Mormenekşe GBSK,1,2,A,1357.4109162514621,1374.860911454765,-17.449995203302933,42.55000479669707,0.5609300615699816,1334.973713788663,1397.2981139175643
1238,2011-11-12,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Mağusa Türk Gücü,0,1,A,1569.854935204979,1496.372758722179,73.48217648280001,133.4821764828,0.6831714710482778,1542.5280763630478,1523.6996175641102
1239,2011-11-12,2011-2012,Süper Lig,Lapta Türk Birliği SK,Düzkaya KOSK,3,3,D,1453.6987819180658,1313.928064826867,139.77071709119878,199.77071709119878,0.7595059282612671,1443.318544787615,1324.3083019573178
1240,2011-11-12,2011-2012,Süper Lig,Lefke TSK,Doğan Türk Birliği,1,3,A,1430.5618898445748,1480.6860054147585,-50.124115570183676,9.875884429816324,0.5142087135637071,1399.7093670307524,1511.5385282285808
1241,2011-11-12,2011-2012,Süper Lig,Cihangir GSK,Bostancı Bağcıl SK,2,1,H,1325.614631911267,1419.8393672295565,-94.2247353182895,-34.224735318289504,0.4509053418585245,1347.578418236926,1397.8755809038976
