1,20180317,1500,11958,26,12,1,2,0
1,20180317,1500,11959,35,7,1,1,0
1,20180317,1500,11960,5,17,0,0,0
2,20180317,1500,12006,25,20,2,1,0
2,20180317,1500,12007,31,39,2,2,0
2,20180317,1500,12008,43,42,0,0,0
1,20180318,1500,11962,24,9,2,5,0
1,20180318,1500,11963,10,28,3,0,0
1,20180318,1500,11964,15,30,4,0,0
2,20180318,1500,12005,11,16,1,0,0
2,20180318,1500,12009,38,21,1,0,0
2,20180318,1500,12010,4,37,2,4,0
2,20180318,1500,12011,2,18,4,1,0
2,20180318,1500,12012,23,8,3,1,0
1,20180319,1815,11961,13,14,2,1,0
1,20180324,1500,11973,28,24,2,2,0
1,20180324,1500,11974,12,9,1,3,0
1,20180324,1500,11975,30,35,1,3,0
2,20180324,1500,12013,42,25,4,1,0
2,20180324,1500,12014,8,2,2,1,0
2,20180324,1500,12015,20,23,4,0,0
2,20180324,1500,12016,37,38,3,3,0
2,20180324,1500,12017,18,11,0,1,0
1,20180325,1500,11976,19,5,1,2,0
1,20180325,1500,11977,14,1,1,1,0
1,20180325,1500,11978,17,10,1,1,0
1,20180325,1500,11979,7,13,1,2,0
2,20180325,1500,12018,39,16,2,3,0
2,20180325,1500,12019,31,4,2,2,0
2,20180325,1500,12020,21,43,4,5,0
1,20180326,1800,11980,26,15,3,4,0
1,20180330,1900,11989,5,14,1,4,0
1,20180331,1600,11990,24,17,0,0,0
1,20180331,1600,11991,1,7,2,4,0
1,20180331,1600,11992,10,19,0,3,0
1,20180331,1600,11995,13,30,4,1,0
2,20180331,1600,12021,25,21,0,4,0
2,20180331,1600,12022,43,37,3,0,0
2,20180331,1600,12023,16,18,2,1,0
2,20180331,1600,12024,2,20,1,2,0
2,20180331,1600,12025,4,39,1,1,0
1,20180401,1600,11993,15,12,5,0,0
1,20180401,1600,11994,35,26,2,1,0
2,20180401,1600,12026,38,31,0,0,0
2,20180401,1600,12027,11,8,1,1,0
2,20180401,1600,12028,23,42,1,0,0
1,20180402,1900,11996,9,28,3,0,0
2,20180406,1900,12193,21,23,1,3,0
1,20180407,1600,12185,14,10,5,2,0
1,20180407,1600,12186,12,28,5,4,0
1,20180407,1600,12187,26,13,3,2,0
1,20180407,1600,12188,15,35,1,1,0
2,20180407,1600,12189,20,11,3,2,0
2,20180407,1600,12190,8,16,0,4,0
1,20180408,1600,12181,7,5,0,2,0
1,20180408,1600,12182,19,24,4,1,0
1,20180408,1600,12183,30,1,4,8,0
2,20180408,1600,12192,42,2,4,2,0
2,20180408,1600,12194,39,18,2,5,0
2,20180408,1600,12195,4,38,3,3,0
2,20180408,1600,12196,31,43,1,2,0
1,20180409,1900,12184,17,9,1,0,0
1,20180414,1600,12213,10,7,1,1,0
1,20180414,1600,12214,24,14,2,1,0
1,20180414,1600,12215,35,12,3,1,0
1,20180414,1600,12216,5,30,2,1,0
1,20180414,1600,12217,28,17,1,3,0
1,20180414,1600,12218,9,19,4,0,0
1,20180414,1600,12219,1,26,1,2,0
1,20180414,1600,12220,13,15,1,1,0
2,20180414,1600,12245,23,37,0,1,0
2,20180414,1600,12247,25,31,1,1,0
